CHECKOUT_HEADER_ID_C,MARKET_CODE_C,MARKET_DESC_C,MARKET_GROUP_C,MAJOR_MARKET_CODE_C,CHANNEL_CODE_C,RATE_PLAN_C,SPLIT_RATE_PLAN_C,CONS_GUEST_ID_C,ROOM_NUM_C,ROOM_TYPE_CODE_C,ROOM_TYPE_DESCRIPTION_C,WALK_IN_FLG_C,RESERVATION_CONFIRMATION_NUM_C,RESERVATION_CONFIRMATION_PAGE_C,RESERVATION_STATUS_C,CHECK_IN_DATE_C,CHECK_OUT_DATE_C,LENGTH_OF_STAY_C,NUMBER_OF_ROOMS_C,ADULT_NUM_C,CHILDREN_NUM_C,POV_CODE_C,QUOTED_RATE_C,PMS_ROOM_REV_C,PMS_ROOM_REV_USD_C,PMS_TOTAL_REV_C,PMS_TOTAL_REV_USD_C,PMS_FOOD_BEVERAGE_REV_C,PMS_FOOD_BEVERAGE_REV_USD_C,PMS_OTHER_REV_C,PMS_OTHER_REV_USD_C,WALK_FLAG_C,NO_SHOW_FLAG_C,DUP_INDEX_C,CONFIRMATION_NUM_R,CONFIRMATION_PAGE_R,RESERVATION_DATE_R,ARRIVAL_FLG_R,ARRIVAL_DATE_R,DEPARTURE_DATE_R,DIRECT_NIGHTS_NUM_R,RESERVATION_STATUS_R,ENTRY_TIME_R,ENTRY_HOTEL_CODE_R,LAST_CHANGE_DATE_R,ROOM_TYPE_CODE_R,ROOM_TYPE_DESCRIPTION_R,MAJOR_MARKET_CODE_R,PMS_RATE_CATEGORY_CODE_R,NUM_ROOMS_R,ADULT_NUM_R,CHILDREN_NUM_R,NT_RATE_R,STATE_R,COUNTRY_CODE_R,ETA_R,FLIGHTT_INFO_R,LENGTH_OF_STAY_R,LENGTH_OF_STAY_CATEGORY_R,CALCULATED_NIGHTS_NUM_R,ROOM_NIGHTS_R,STATUS_CALCULATION_R,GROUPS_VS_FIT_R,GUEST_COUNTRY_R,GOLDPASSPORT_FLG_R,MEMBER_STATUS_R,PACE_CATEGORY_R,PACE_R,OFFER_FLG_R,PAST_VS_FUTURE_R,REVENUE_R,REVENUE_USD_R,CHANNEL_CODE_R,e_delivereddate_I,e_delivereddate_adj_I,e_status_I,e_hy_gss_tier_I,e_hy_gss_conf_num_I,e_hy_gss_conf_page_I,e_hy_feedback_type_I,e_hy_gss_rate_plan_code_I,e_country_I,e_hy_gss_check_in_by_I,e_hy_gss_check_out_by_I,e_hy_gss_marketing_emails_ok_yn_I,e_hy_gss_promo_emails_ok_yn_I,e_hy_gss_club_access_yn_I,e_hy_gss_gender_I,e_hy_gss_title_text_I,e_hy_gss_language_I,e_hy_gss_room_floor_I,e_hy_gss_check_in_time_text_I,e_hy_gss_check_out_time_text_I,e_hy_gss_check_in_time_I,e_hy_gss_check_out_time_I,e_checkin_I,e_checkout_I,a_last_seen_page_name_I,a_last_submitted_page_name_I,Survey_ID_H,Response_Date_H,Guest_Checkin_Date_H,Guest_Checkout_Date_H,Length_Stay_H,Guest_State_H,Guest_Country_H,Gender_H,Age_Range_H,POV_H,Language_H,DOE_H,Booking_Location_H,Num_Adults_H,Num_Kids_H,Num_Rooms_H,Conf_Num_Orig_H,Conf_Num_H,Conf_Page_H,Rate_Plan_H,Gross_Rev_H,Net_Rev_H,Room_Rev_H,CC_Type_H,Currency_H,Clublounge_Used_H,Spa_Used_H,GDS_Source_H,Checkin_Length_H,Room_Num_H,Room_Type_H,GP_Tier_H,Status_H,Feedback_Type_H,Mobile_First_H,Mobile_H,Likelihood_Recommend_H,Overall_Sat_H,Guest_Room_H,Tranquility_H,Condition_Hotel_H,Customer_SVC_H,Staff_Cared_H,Internet_Sat_H,Check_In_H,F&B_FREQ_H,F&B_Overall_Experience_H,Internet_Dissat_Lobby_H,Internet_Dissat_Slow_H,Internet_Dissat_Expensive_H,Internet_Dissat_Connectivity_H,Internet_Dissat_Billing_H,Internet_Dissat_Wired_H,Internet_Dissat_Other_H,TV_Internet_General_H,Room_Dissat_Internet_H,eff_date_CC,avail_room_cnt_CC,occ_room_cnt_CC,average_daily_rate_CC,Spirit_PL,Property_ID_PL,Hotel Name-Long_PL,Hotel Name-Short_PL,Award Category_PL,Status_PL,City_PL,State_PL,US Region_PL,Postal Code_PL,Country_PL,Ops Region_PL,Sub-Continent_PL,Property DMA_PL,Property Latitude_PL,Property Longitude_PL,Currency_PL,Dom Int'l_PL,Guest NPS Goal_PL,STR Number_PL,STR Market_PL,Brand_PL,Brand Initial_PL,Club Type_PL,Hotel Inventory_PL,Floors_PL,Total Meeting Space_PL,Union_PL,G#Region_PL,D#Region_PL,Region_PL,Category_PL,Scope of Service_PL,Type_PL,Class_PL,Location_PL,Bucket_PL,Relationship_PL,All Suites_PL,Bell Staff_PL,Boutique_PL,Business Center_PL,Casino_PL,Conference_PL,Convention_PL,Dry-Cleaning_PL,Elevators_PL,Fitness Center_PL,Fitness Trainer_PL,Golf_PL,Indoor Corridors_PL,Laundry_PL,Limo Service_PL,Mini-Bar_PL,Pool-Indoor_PL,Pool-Outdoor_PL,Regency Grand Club_PL,Resort_PL,Restaurant_PL,Self-Parking_PL,Shuttle Service_PL,Ski_PL,Spa_PL,Spa services in fitness center_PL,Spa online booking_PL,Spa F&B offering_PL,Valet Parking_PL,GP_Tier,Sub_Channel_Category,Channel_Category,Booking_Channel,NPS_Type,Stay_Sequence,Stay_Sequence_Brand,Completed_Survey_Sequence,Days_Since_Last_Stay,Days_Until_Next_Stay
67288225,MERC,MERC,OTHER,TRANSIENT,C00HN,RACK,RACK,202519355,617,KING,Guest Room King Bed,N,35898974,1,CHECKED OUT,1/28/2014,1/29/2014,1,1,2,,BUSINESS,103.2,169,169,169,169,0,0,0,0,,,1,35898974,1,1/28/2014 0:00,1,1/27/2015,1/28/2015,1,CANCEL,10:07:04,OMGDS,1/28/2014 0:00,KING,KING BED        ,TRANSIENT,WNET,1,2,,103.2,,,0,,1,0-4,1,1,Cancelled,FIT,,GP No,,90+ Days,364,N,Future,103.2,103.2,C00HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATLZS,3572,Hyatt Place Atlanta Airport-South,HP Atlanta Airport South,1,Open,College Park,Georgia,Southeast,30337,United States,Americas,North America,"ATLANTA, GA",33.627073,-84.452527,USD,Domestic,55,33694,"Atlanta, GA",Hyatt Place,HP,,123,6,1600,No,East (Managed),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Managed,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,,,N,,Internet,Electronic Distribution,Internet,,,,,,
67288339,RACK,RACK,RACK,TRANSIENT,C00HN,RACK,RACK,86551429,610,KING,Guest Room King Bed,N,35958674,1,CHECKED OUT,1/29/2014,1/30/2014,1,1,2,,BUSINESS,129,129,129,129,129,0,0,0,0,,,1,35958674,1,1/29/2014 0:00,1,1/28/2015,1/29/2015,1,CONFRM,8:20:42,OMARO,1/29/2014 0:00,KING,KING BED        ,TRANSIENT,RACK,1,2,,129,GA,UNITED STATES,,,1,0-4,1,1,Confirmed,FIT,UNITED STATES,GP Yes,Gold,90+ Days,364,N,Future,129,129,C00HN,1/31/2014 15:33,1/31/2014 18:33,DELIVERED_AND_REMINDED,GOLD,35958674,1,GSS,RACK,USA,,,,,,,,,,,,,,1/29/2014,1/30/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATLZS,3572,Hyatt Place Atlanta Airport-South,HP Atlanta Airport South,1,Open,College Park,Georgia,Southeast,30337,United States,Americas,North America,"ATLANTA, GA",33.627073,-84.452527,USD,Domestic,55,33694,"Atlanta, GA",Hyatt Place,HP,,123,6,1600,No,East (Managed),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Managed,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,,,N,Gold,Internet,Electronic Distribution,Internet,,2,2,,186,
69366145,RACK,RACK,RACK,TRANSIENT,RCF-OMARO,RACK,RACK,77063306,4210,EXEN,Guest Room Double Double,N,41269100,1,CHECKED OUT,5/2/2014,5/3/2014,1,1,3,,LEISURE,89,89,89,89,89,0,0,0,0,,,1,41269100,1,5/1/2014 0:00,1,1/2/2015,1/3/2015,1,CONFRM,15:43:08,OMARO,5/1/2014 0:00,EXEN,EXEC 2DBL NOSM  ,TRANSIENT,RACK,1,3,,89,TX,UNITED STATES,,,1,0-4,1,1,Confirmed,FIT,UNITED STATES,GP Yes,Gold,90+ Days,246,N,Future,89,89,RCF-OMARO,5/4/2014 14:08,5/4/2014 16:08,DELIVERED_AND_REMINDED,GOLD,41269100,1,GSS,RACK,USA,,,,,,,,,,,,,,5/2/2014,5/3/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2/2015,130,45,78.53,DFWXR,3673,HYATT house Dallas/Richardson,HH Richardson,1,Open,Richardson,Texas,Southwest,75080,United States,Americas,North America,"DALLAS-FT. WORTH, TX",32.980863,-96.715568,USD,Domestic,68,35781,"Dallas, TX",Hyatt House,HH,,130,2,600,No,West (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Suburban,Suburban,Franchised,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,,N,N,N,Gold,Remote Call Forwarding,Global Contact Center,Global Contact Center,,2,2,,336,
71191857,VOLM,VOLU,VOLUME,TRANSIENT,RCF-OMARO,VNGM  ,VNGM,28619903,37,2QNS,Queen Queen Nonsmoking,N,43360999,1,CHECKED OUT,6/12/2014,6/13/2014,1,1,1,,BUSINESS,156,156,156,156,156,0,0,0,0,,,1,43360999,1,6/9/2014 0:00,1,1/12/2015,1/13/2015,1,CANCEL,15:29:34,OMARO,7/18/2014 0:00,1BKN,1 BDRM KING NOSM,TRANSIENT,VOL1,1,1,,156,CA,UNITED STATES,,,1,0-4,1,1,Cancelled,FIT,UNITED STATES,GP Yes,Platinum,90+ Days,217,N,Future,156,156,RCF-OMARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAXXE,3491,HYATT house Los Angeles/LAX/El Segundo,HH El Segundo,3,Open,El Segundo,California,West,90245,United States,Americas,North America,"LOS ANGELES, CA",33.903805,-118.382605,USD,Domestic,67,15220,"Los Angeles-Long Beach, CA",Hyatt House,HH,,122,3,1372,No,Central (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Franchised,Y,,N,,N,N,N,,,,,N,N,,,,,,,N,N,,,N,N,,,,,Platinum,Remote Call Forwarding,Global Contact Center,Global Contact Center,,13,13,,249,
71997951,MERC,MERC,OTHER,TRANSIENT,000R7,HPLA,HPLA,207771122,611,KING,Guest Room King Bed,N,45144748,1,CHECKED OUT,7/11/2014,7/12/2014,1,1,1,,BUSINESS,80.36,200,200,212.5,212.5,12.5,12.5,0,0,,,1,45144748,1,7/11/2014 0:00,1,1/16/2015,1/17/2015,1,CONFRM,20:19:15,OMGDS,7/11/2014 0:00,KING,KING BED        ,TRANSIENT,MRCR,1,1,,80.36,IL,UNITED STATES,0,,1,0-4,1,1,Confirmed,FIT,UNITED STATES,GP No,,90+ Days,189,N,Future,80.36,80.36,000R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSPZA,3598,Hyatt Place Minneapolis Airport-South,HP Minneapolis Airport,2,Open,Bloomington,Minnesota,Midwest,55425,United States,Americas,North America,"MINNEAPOLIS-ST. PAUL, MN",44.860906,-93.226979,USD,Domestic,51,34958,"Minneapolis-St Paul, MN-WI",Hyatt Place,HP,,126,6,1104,No,West (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Franchised,Y,,N,,N,N,N,,,,,N,Y,,,,,,,N,N,,,N,N,,,,,,Internet,Electronic Distribution,Internet,,,,,,
76308804,RACK,RACK,RACK,TRANSIENT,CTR,RACKD1,RACK,202262618,3706,KING,Park King,N,34989144,1,CHECKED OUT,1/13/2014,1/14/2014,1,1,2,,BUSINESS,2500,2500,410.09,2776,455.39,276,45.3,0,0,,,1,34989144,1,1/12/2014 0:00,1,1/13/2015,1/14/2015,1,CONFRM,22:19:50,BEIPH,1/12/2014 0:00,KING,PARK ROOM KING  ,TRANSIENT,RACK,1,2,,2500,,CHINA,23:59,,1,0-4,1,1,Confirmed,FIT,CHINA,GP No,,90+ Days,366,N,Future,2500,410.09,CTR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEIPH,3699,Park Hyatt Beijing,PH Beijing,5,Open,Beijing,,,,China,ASPAC,Northeastern Asia,,39.904398,116.440795,CNY,International,65,154098,Beijing,Park Hyatt,PH,,,66,21786.31576,No,North China,Asia Pacific,Asia Pacific,Full Service,FS,Business,Luxury Class,Suburban,0,Managed,N,,N,,N,N,N,,,,,N,Y,,,,,,,N,Y,,,N,Y,,,,,,Internet,Electronic Distribution,Internet,,,,,,
77534299,WHLS,TOUR,WHOLESALE,TRANSIENT,C00HN,WNETQ1,WNET,,1073,KING,Guest Room King,N,34377859,1,CHECKED OUT,1/1/2014,1/2/2014,1,1,1,,BUSINESS,97.58,97.58,97.58,107.53,107.53,0,0,9.95,9.95,,,1,34377859,1,1/1/2014 0:00,1,1/1/2015,1/2/2015,1,CANCEL,20:45:54,OMGDS,1/6/2014 0:00,KING,KING ROOM       ,TRANSIENT,WNET,1,1,,97.58,,,0,,1,0-4,1,1,Cancelled,FIT,,GP No,,90+ Days,365,N,Future,97.58,97.58,C00HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/2015,1096,346,74.21,CHIRO,3698,Hyatt Regency O'Hare,HR O'Hare,2,Open,Rosemont,Illinois,Midwest,60018,United States,Americas,North America,"CHICAGO, IL",41.980952,-87.860781,USD,Domestic,52,5781,"Chicago, IL",Hyatt Regency,HR,Regency Club,1100,10,96413,Yes,Central,Americas,Americas,Full Service,FS,Convention,Upper Upscale Class,Airport,Americas - Primary Convention,Owned,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,N,,,Y,,Internet,Electronic Distribution,Internet,,,,,,
78381501,VOLM,VOLU,VOLUME,TRANSIENT,DIR-CHSZC,SCDH,SCDH,81010365,122,KING,Guest Room King Bed,N,16544762,1,CHECKED OUT,1/15/2013,1/21/2013,6,1,1,,BUSINESS,109,654,654,654,654,0,0,0,0,,,1,16544762,1,1/14/2013 0:00,1,1/15/2015,1/25/2015,10,CANCEL,15:47:42,CHSZC,1/15/2013 0:00,KING,KING BED        ,TRANSIENT,VOL1,1,1,,109,LA,UNITED STATES,,,10,11-May,10,10,Cancelled,FIT,UNITED STATES,GP No,,90+ Days,395+,N,Future,1090,1090,DIR-CHSZC,1/22/2013 16:13,1/22/2013 18:13,DELIVERED_AND_REMINDED,GOLD,16544762,1,GSS,SCDH,USA,,,,,,,,,,,,,,1/15/2013,1/21/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHSZC,3729,Hyatt Place Charleston Airport/Convention Center,HP Charleston Convention,2,Open,North Charleston,South Carolina,Southeast,29418,United States,Americas,North America,"CHARLESTON, SC",32.864261,-80.017557,USD,Domestic,79,59387,"Charleston, SC",Hyatt Place,HP,,127,6,1080,No,East (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Franchised,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,Y,Y,N,N,N,,,N,GOLD,Direct,Hotel,Hotel,,1,1,,,
79808931,RACK,RACK,RACK,TRANSIENT,RCF-OMARO,RACK,RACK,86337783,209,1BKT,ADA 1 Bedroom King Tub,N,34444949,1,CHECKED OUT,1/3/2014,1/3/2014,,1,2,1,LEISURE,114,228,228,228,228,0,0,0,0,,,1,34444949,1,1/3/2014 0:00,1,1/2/2015,1/3/2015,1,CONFRM,0:56:15,OMARO,1/3/2014 0:00,1BKN,1 BD KING NONSM ,TRANSIENT,RACK,1,2,1,114,CO,UNITED STATES,0,,1,0-4,1,1,Confirmed,FIT,UNITED STATES,GP No,,90+ Days,364,N,Future,114,114,RCF-OMARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2/2015,123,117,94.52,DENXA,3853,HYATT house Denver Airport,HH Denver Airport,2,Open,Denver,Colorado,West,80249,United States,Americas,North America,"DENVER, CO",39.826303,-104.769072,USD,Domestic,66,60887,"Denver, CO",Hyatt House,HH,,123,4,1034,No,Central (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Franchised,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,N,,,N,,Remote Call Forwarding,Global Contact Center,Global Contact Center,,,,,,
81416313,RACK,RACK,RACK,TRANSIENT,1A,RACKF1,RACK,29466212,726,1VDK,View Deluxe King,N,36204405,1,CHECKED OUT,2/6/2014,2/7/2014,1,1,1,,BUSINESS,255,238.31,322.18,234.11,316.49,-4.2,-5.69,0,0,,,1,36204405,1,2/3/2014 0:00,1,1/6/2015,1/7/2015,1,CONFRM,9:39:32,OMGDS,7/25/2014 0:00,DLXK,DELUXE KING     ,TRANSIENT,RACK,1,1,,255,HA,GERMANY,0,,1,0-4,1,1,Confirmed,FIT,GERMANY,GP Yes,Platinum,90+ Days,337,N,Future,255,343.76,1A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DUSSE,3868,Hyatt Regency Dusseldorf,HR Dusseldorf,3,Open,D�sseldorf,,,40221,Germany,EAME,Western Europe,,51.215927,6.751314,EUR,International,77,193789,Greater Dusseldorf,Hyatt Regency,HR,Regency Club,303,19,11022.24,No,Central Europe,EAME & SW Asia,Europe,Full Service,FS,Convention,Upper Upscale Class,Urban,0,Managed,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,,Y,Y,Y,Platinum,GDS,Electronic Distribution,GDS,,16,7,,161,
81869440,MERC,MERC,OTHER,TRANSIENT,27,SSLBB1,SSLB,,633,STKN,Studio King,N,34390971,1,CHECKED OUT,1/3/2014,1/3/2014,,,2,2,BUSINESS,208.08,208.08,208.08,221.08,221.08,13,13,0,0,,,1,34390971,1,1/2/2014 0:00,1,1/2/2015,1/3/2015,1,CONFRM,8:02:37,OMGDS,1/2/2014 0:00,STKN,STUDIO KING NS  ,TRANSIENT,SSLA,1,2,2,208.08,,,0,,1,0-4,1,1,Confirmed,FIT,,GP No,,90+ Days,365,N,Future,208.08,208.08,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2/2015,143,138,188.06,FLLXD,3841,HYATT house Ft. Lauderdale Airport & Cruise Port,HH FTL Airport South,2,Open,Dania Beach,Florida,Southeast,33004,United States,Americas,North America,"MIAMI-FT. LAUDERDALE, FL",26.050298,-80.160471,USD,Domestic,74,59519,"Fort Lauderdale, FL",Hyatt House,HH,,143,6,1100,No,West (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Franchised,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,,,N,,Internet,Electronic Distribution,Internet,,,,,,
82044652,MERC,MERC,OTHER,TRANSIENT,C00HN,WNETL1,WNET,,505,KING,Guest Room King Bed,N,34329292,1,CHECKED OUT,1/2/2014,1/5/2014,3,1,3,1,BUSINESS,135.2,405.6,405.6,419.6,419.6,14,14,0,0,,,1,34329292,1,12/31/2013 0:00,1,1/2/2015,1/5/2015,3,CONFRM,10:09:40,OMGDS,12/31/2013 0:00,KING,KING BED        ,TRANSIENT,WNET,1,3,1,135.2,,,0,,3,0-4,3,3,Confirmed,FIT,,GP No,,90+ Days,367,N,Future,405.6,405.6,C00HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/2/2015,149,143,162.74,FLLZD,3837,Hyatt Place Ft. Lauderdale Airport & Cruise Port,HP FTL Airport South,2,Open,Dania Beach,Florida,Southeast,33004,United States,Americas,North America,"MIAMI-FT. LAUDERDALE, FL",26.050419,-80.161248,USD,Domestic,67,59414,"Fort Lauderdale, FL",Hyatt Place,HP,,149,6,1700,No,West (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Franchised,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,,,N,,Internet,Electronic Distribution,Internet,,,,,,
82044822,RACK,RACK,RACK,TRANSIENT,DIR-FLLZD,RACKL1,RACK,202068804,505,KING,Guest Room King Bed,N,34406383,1,CHECKED OUT,1/5/2014,1/6/2014,1,1,1,,BUSINESS,140,140,140,140,140,0,0,0,0,,,1,34406383,1,1/2/2014 0:00,1,1/5/2015,1/6/2015,1,CONFRM,12:13:36,FLLZD,1/2/2014 0:00,KING,KING BED        ,TRANSIENT,RACK,1,1,,140,FL,UNITED STATES,,,1,0-4,1,1,Confirmed,FIT,UNITED STATES,GP No,,90+ Days,368,N,Future,140,140,DIR-FLLZD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLLZD,3837,Hyatt Place Ft. Lauderdale Airport & Cruise Port,HP FTL Airport South,2,Open,Dania Beach,Florida,Southeast,33004,United States,Americas,North America,"MIAMI-FT. LAUDERDALE, FL",26.050419,-80.161248,USD,Domestic,67,59414,"Fort Lauderdale, FL",Hyatt Place,HP,,149,6,1700,No,West (Franchised),Americas,Americas,Select Service,SS,Select Service,Upscale Class,Airport,Airport,Franchised,Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,,,N,,Direct,Hotel,Hotel,,,,,,
82290229,WHLS,TOUR,WHOLESALE,TRANSIENT,0002P,AGODAB1,AGODA,86514833,7211,CLVK,Club View King,N,35628537,1,CHECKED OUT,1/23/2014,1/25/2014,2,1,2,,BUSINESS,8500,19550,316.2,28575,462.21,7950,128.61,1075,17.38,,,1,35628537,1,1/23/2014 0:00,1,1/23/2015,1/25/2015,2,CONFRM,6:01:45,GOAGH,1/23/2014 0:00,KING,GRAND KING      ,TRANSIENT,WHLS,1,2,,8500,,THAILAND,0:00,,2,0-4,2,2,Confirmed,FIT,THAILAND,GP No,,90+ Days,365,N,Future,17000,275.11,0002P,1/27/2014 14:39,1/28/2014 1:39,DELIVERY_BOUNCED,GOLD,35628537,1,GSS,AGODAB,Russia,RABRE,GALAD,,,N,,,,,,,,,1/23/2014,1/25/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOAGH,3869,Grand Hyatt Goa,GH Goa,3,Open,Goa,,,403206,India,ASPAC,Central & South Asia,,15.458414,73.834555,INR,International,44,188928,Central India,Grand Hyatt,GH,Grand Club,314,3,19682,No,South Asia,EAME & SW Asia,Asia Pacific,Full Service,FS,Resort,Luxury Class,Resort,0,Managed,N,Y,N,Y,N,N,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,,Y,N,Y,GOLD,Internet,Electronic Distribution,Internet,,1,1,,,
84455381,CONV,CONV,CONVENTION,,DIR-C0085,G-MMCG  ,G-MMCG,202200179,842,VW1K,Riverview Deluxe King,N,32777863,1,CHECKED OUT,1/12/2014,1/16/2014,4,1,2,,BUSINESS,184,856,856,856,856,0,0,0,0,,,1,32777863,1,11/25/2013 0:00,1,1/12/2015,1/16/2015,4,SHARE,14:20:40,OMGDS,11/25/2013 0:00,VW1K,RIVERVW DLX KING,CONVENTION,MMCI,1,2,,184,LA,UNITED STATES,,,4,0-4,4,4,Confirmed,Groups,UNITED STATES,GP No,,90+ Days,395+,N,Future,736,736,DIR-C0085,1/18/2014 14:48,1/18/2014 16:48,DELIVERED_NO_REMINDER,,32777863,1,SGSS,G-MMCG,USA,1320292,CJIMENEZ,Y,Y,N,Unknown,,,8,17:13,10:00,17:13,10:00,1/12/2014,1/16/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRJ,3422,Hyatt Regency Jacksonville Riverfront,HR Jacksonville,2,Open,Jacksonville,Florida,Southeast,,United States,Americas,North America,"JACKSONVILLE, FL",30.324201,-81.65534,USD,Domestic,49,37336,"Jacksonville, FL",Hyatt Regency,HR,Regency Club,966,19,77563,No,Southern,Americas,Americas,Full Service,FS,Convention,Upper Upscale Class,Urban,Americas - Secondary Convention,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,,,Y,,Passkey Direct,Global Contact Center,Global Contact Center,,,,,,
84477946,CONV,CONV,CONVENTION,,DIR-C0085,G-GMMC  ,G-GMMC,86383159,552,VW1K,Riverview Deluxe King,N,33966013,1,CHECKED OUT,1/9/2014,1/15/2014,6,1,2,,BUSINESS,80,480,480,480,480,0,0,0,0,,,1,33966013,1,12/20/2013 0:00,1,1/9/2015,1/15/2015,6,SHARE,17:34:23,OMGDS,1/8/2015 0:00,QUEN,DLX 2 QUEEN BEDS,CONVENTION,GMCI,1,2,,80,NC,UNITED STATES,,,6,11-May,6,6,Confirmed,Groups,UNITED STATES,GP No,,90+ Days,385,N,Past,480,480,DIR-C0085,1/17/2014 14:26,1/17/2014 17:26,DELIVERED_NO_REMINDER,GOLD,33966013,1,GSS,G-GMMC,USA,RMESFIN,1214157,Y,Y,N,Unknown,,E,5,14:38,10:16,14:38,10:16,1/9/2014,1/15/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRJ,3422,Hyatt Regency Jacksonville Riverfront,HR Jacksonville,2,Open,Jacksonville,Florida,Southeast,,United States,Americas,North America,"JACKSONVILLE, FL",30.324201,-81.65534,USD,Domestic,49,37336,"Jacksonville, FL",Hyatt Regency,HR,Regency Club,966,19,77563,No,Southern,Americas,Americas,Full Service,FS,Convention,Upper Upscale Class,Urban,Americas - Secondary Convention,Managed,N,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,,,Y,GOLD,Passkey Direct,Global Contact Center,Global Contact Center,,2,1,,134,
